ID,Time_zone,Geo_enabled,Followers,Date
7.24289E+17,Mid-Atlantic,1,303,24
7.24289E+17,Brasilia,1,2248,24
7.12891E+15,null,0,13,24
7.24289E+17,Eastern Time (US & Canada),1,16,24
7.24289E+17,Eastern Time (US & Canada),1,96,24
7.24289E+17,Jerusalem,0,955,24
7.24289E+17,Pacific Time (US & Canada),0,1577,24
7.12892E+16,Hawaii,0,136,24
7.12892E+16,null,0,954,24
7.24289E+17,Eastern Time (US & Canada),1,1946,24
7.24289E+17,Pacific Time (US & Canada),0,459,24
7.24289E+17,null,1,19,24
7.24289E+17,null,0,388,24
7.12893E+16,Brasilia,1,3,24
7.12893E+16,null,0,452,24
7.12893E+16,Santiago,1,195,24
7.24289E+17,Central Time (US & Canada),1,795,24
7.24289E+17,null,0,120,24
7.24289E+17,null,0,5,24
7.24289E+17,Pacific Time (US & Canada),0,253,24
7.24289E+17,Monterrey,1,246,24
7.24289E+17,Eastern Time (US & Canada),0,110,24
7.24289E+17,Pacific Time (US & Canada),0,141,24
7.24289E+17,Hawaii,0,83,24
7.12894E+16,null,0,958,24
7.24289E+17,Eastern Time (US & Canada),1,45,24
7.24289E+17,Eastern Time (US & Canada),1,963,24
7.24289E+17,Eastern Time (US & Canada),1,244,24
7.24289E+17,null,1,19105,24
7.24289E+17,null,0,850,24
7.12894E+16,Eastern Time (US & Canada),1,488,24
7.24289E+17,Central Time (US & Canada),0,19105,24
7.24289E+17,Brasilia,0,FALSE,24
7.24289E+17,null,0,629,24
7.24289E+17,Brasilia,1,376,24
7.24289E+17,Quito,0,20,24
7.2429E+17,null,0,1258,24
7.12895E+16,Santiago,1,593,24
7.2429E+17,Mid-Atlantic,1,17,24
7.12895E+15,Eastern Time (US & Canada),1,283017,24
7.12896E+16,null,0,3442,24
7.12896E+15,Mexico City,1,970,24
7.2429E+17,null,0,515,24
7.12896E+16,null,1,10947,24
7.2429E+17,Eastern Time (US & Canada),1,186,24
7.2429E+17,Brasilia,1,6714,24
7.12896E+16,Pacific Time (US & Canada),0,19105,24
7.2429E+17,Eastern Time (US & Canada),1,2099,24
7.12896E+14,Atlantic Time (Canada),1,64,24
7.12896E+16,null,0,19105,24
7.12896E+16,null,0,81,24
7.12896E+16,Hawaii,0,18,24
7.2429E+17,Eastern Time (US & Canada),1,96,24
7.2429E+17,Buenos Aires,1,1494,24
7.2429E+17,Karachi,1,19105,24
7.2429E+17,null,0,44,24
7.2429E+17,Pacific Time (US & Canada),0,1615,24
7.2429E+17,Paris,1,1142,24
7.2429E+17,Caracas,0,5,24
7.2429E+17,null,1,1743,24
7.2429E+17,Santiago,1,3061,24
7.2429E+17,null,1,696,24
7.2429E+17,null,0,32,24
7.2429E+17,Eastern Time (US & Canada),0,1415,24
7.2429E+17,Pacific Time (US & Canada),0,217,24
7.2429E+17,Nairobi,1,2750,24
7.2429E+17,Brasilia,1,27,24
7.12898E+15,Eastern Time (US & Canada),1,133,24
7.12898E+15,Santiago,1,370,24
7.2429E+17,Eastern Time (US & Canada),1,22491,24
7.2429E+17,Santiago,1,1129,24
7.2429E+17,Brussels,1,86,24
7.12899E+16,Brasilia,1,632,24
7.2429E+17,null,0,1421,24
7.2429E+17,Mid-Atlantic,0,435,24
7.2429E+17,Eastern Time (US & Canada),0,158,24
7.2429E+17,Pacific Time (US & Canada),0,129,24
7.2429E+17,Eastern Time (US & Canada),0,34,24
7.129E+16,Brasilia,1,397,24
7.2429E+17,Monterrey,1,46801,24
7.129E+15,null,0,18696,24
7.2429E+17,Pacific Time (US & Canada),1,511,24
7.2429E+17,Central Time (US & Canada),0,83,24
