Date,Day,ID2,Followers,Friends,Status_Count,Time_zone,Geo_enabled,Language
1,24,4850263133,83,178,1363,0,0,5
1,24,578713253,64,126,1759,1,1,5
1,24,1166724223,1045,782,111028,2,1,5
2,25,612444499,29,0,103903,0,0,5
2,25,3027860463,9,6,24380,0,0,5
2,25,3107454083,11,6,9415,0,0,5
2,25,1367125686,41,170,6726,0,0,5
2,25,913110470,952,124,1300,0,1,5
2,25,24665133,15908,462,93956,1,0,5
2,25,1001654155,8,44,792,0,1,5
2,25,3027860463,9,6,24382,0,0,5
2,25,7.12538E+17,10,234,283,0,1,5
2,25,115092080,166,793,708,1,0,5
2,25,1164107552,84,647,2974,0,1,5
2,25,3244650184,270,585,18957,8,1,5
2,25,1367125686,41,170,6894,0,0,5
2,25,3027860463,9,6,24412,0,0,5
3,26,2498317708,367,395,4676,1,1,5
4,27,115092080,174,795,718,1,0,5
4,27,2248142403,34,323,58,0,1,5
4,27,3524827155,947,1911,16745,0,0,5
1,24,2310510041,900,417,17121,0,1,6
1,24,2705912207,150,271,15298,0,1,6
1,24,2984140421,747,491,84679,0,0,6
1,24,1062716244,1885,148,993087,0,0,6
1,24,1473089604,573,1468,4992,0,0,6
1,24,3199110022,2403,2378,27523,8,0,6
1,24,201644366,4959,4137,145511,1,1,6
1,24,1062716244,1886,148,993113,0,0,6
1,24,4099926287,329,150,21367,0,0,6
1,24,701091818,307,719,1401,8,1,6
1,24,2184707526,2094,2548,182719,0,1,6
1,24,1062716244,1886,148,993130,0,0,6
1,24,2953266052,3940,3945,325584,0,0,6
1,24,1205511727,1655,899,58577,1,1,6
2,25,1062716244,1886,148,993301,0,0,6
2,25,386232029,98,28,101039,1,1,6
2,25,386232029,98,28,101040,1,1,6
2,25,2705912207,152,271,15330,0,1,6
2,25,2705912207,152,271,15337,0,1,6
2,25,3103091745,262,47,48362,1,0,6
2,25,4099926287,328,150,21436,0,0,6
2,25,2984140421,748,490,84821,0,0,6
2,25,2984140421,748,490,84825,0,0,6
2,25,2953266052,3937,3944,325888,0,0,6
2,25,2984557972,3701,4996,154015,1,0,6
2,25,2984140421,748,490,84826,0,0,6
2,25,494953314,827,528,60858,1,0,6
2,25,3414086001,671,5000,64485,0,0,6
2,25,176861012,980,914,157527,1,0,6
2,25,176861012,980,914,157530,1,0,6
2,25,2909232334,495,267,43324,0,0,6
2,25,621254192,1034,1089,211230,1,0,6
